"ID_PERSON";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_PERSON";"ID_TMDB_WIKIDATA";"NAME";"ADULT"
"1217224";"Q3002075";"nm0858657";"1217224";;"Craig Thomas";"0"
"1217352";"Q5232512";"nm1051729";"1217352";;"David D. Connell";"0"
"1218302";"Q5258688";"nm0537697";"1218302";;"Dennis Main Wilson";"0"
"1220348";"Q4754854";"nm0699681";"1220348";;"Andre Ptaszynski";"0"
"1220456";"Q5235328";"nm2355384";"1220456";;"David Ian";"0"
"1220775";"Q7363602";"nm1122050";"1220775";;"Ron Carlivati";"0"
"1220784";"Q5108353";"nm2963460";"1220784";;"Chris Van Etten";"0"
"1220807";"Q5490068";"nm0884330";"1220807";;"Frank Valentini";"0"
"1221450";"Q4877367";"nm0443480";"0";;"Beau Kayser";"0"
"1223002";"Q6883918";"nm1215624";"1223002";;"Susan Miller Lazar";"0"
"1223858";"Q21997912";"nm0922103";"1223858";;"Howard West";"0"
"1224268";"Q1619714";"nm1219160";"1224268";;"Louise Rose";"0"
"1225203";"Q130681571";"nm1016595";"0";;"Andy Hay";"0"
"1226178";"Q472895";"nm1392578";"1581740";;"Alexander O'Neal";"0"
"1226384";"Q6129702";"nm0073790";"73078";;"James Berg";"0"
"1227322";"Q6736916";"nm0571820";"1227322";;"Mairead McKinley";"0"
"1227635";"Q136345656";"nm0212568";"1227635";;"Chris Deacon";"0"
"1230073";"Q1263856";"nm1667685";"0";;"Ari Fleischer";"0"
"1230278";"Q6777411";"nm0275996";"1230278";;"Marty Fields";"0"
"1231340";"Q5107694";"nm0663303";"1231340";;"Chris Parr";"0"
"1232733";"Q4762508";"nm1510137";"1232733";;"Angela McHale";"0"
"1233183";"Q6499628";"nm0748758";"1233183";;"Laurance Rudic";"0"
"1233208";"Q5239144";"nm4210191";"1233208";;"David Rocco";"0"
"1233417";"Q16196552";"nm0496757";"1233417";;"Adrian Lee";"0"
"1233558";"Q231001";"nm1736891";"0";;"Amanda Beard";"0"
"1234050";"Q130308177";"nm0578107";"1234050";;"Christie Mellor";"0"
"1234352";"Q6370132";"nm1525348";"1234352";;"Aren X. Tulchinsky";"0"
"1234605";"Q484040";"nm5062189";"1234605";;"Shin Ji";"0"
"1234842";"Q136384204";"nm0574293";"1234842";;"John McQuade";"0"
"1234899";"Q6779293";"nm2074826";"1234899";;"Mary Darling";"0"
"1234900";"Q16243903";"nm1035310";"1234900";;"Clark Donnelly";"0"
"1235443";"Q5239571";"nm0777196";"1219703";;"David Schwartz";"0"
"1238514";"Q6488544";"nm3655179";"1238514";;"Lara Goodison";"0"
"1238936";"Q5045268";"nm0886119";"1238936";;"Caroline van den Brul";"0"
"1238939";"Q5354298";"nm0160920";"1238939";;"Ellesmere Choi";"0"
"1240434";"Q3547454";"nm2796085";"1240434";;"Jon Avila";"0"
"1240804";"Q6988293";"nm8798783";"1240804";;"Neil Bhatt";"0"
"1240818";"Q6444163";"nm1334616";"1240818";;"Kunal Kumar";"0"
"1240924";"Q16222455";"nm5210097";"1240924";;"Jade Seah";"0"
"1241645";"Q8016276";"nm0361875";"1241645";;"William O. Harbach";"0"
"1241796";"Q43103571";"nm0598739";"1241796";;"Peter Montagnon";"0"
"1244384";"Q7025162";"nm1454110";"1244384";;"Nicholas Callaway";"0"
"1244941";"Q16732800";"nm2759087";"1244941";;"Jacqueline Moody";"0"
"1245101";"Q3812752";"nm3833963";"1245101";;"Song Yong-sik";"0"
"1246285";"Q434521";"nm0115249";"1246285";;"Susan Brownmiller";"0"
"1247079";"Q43379403";"nm0696895";"1247079";;"Frank Price";"0"
"1247460";"Q6436184";"nm1705461";"1247460";;"Krasimir Radkov";"0"
"1247503";"Q7611841";"nm1584127";"1247503";;"Steve Backshall";"0"
"1248327";"Q5492318";"nm1185776";"1248327";;"Franny Moyle";"0"
"1250450";"Q248021";"nm1909030";"1250450";;"Menzies Campbell";"0"
"1252097";"Q135404449";"nm1367651";"1252097";;"Debbie Nightingale";"0"
"1252819";"Q25536135";"nm1132320";"1252819";;"Gerasimos Gennatas";"0"
"1252955";"Q6362277";"nm8834004";"1252955";;"Kang Seung-hyun";"0"
"1253174";"Q28853801";"nm4268747";"1253174";;"Rory Cowan";"0"
"1255303";"Q135981009";"nm4557954";"1255303";;"Frank Kauer";"0"
"1256342";"Q6125548";"nm5265213";"1256342";;"Sergio Nakasone";"0"
"1257163";"Q4369290";"nm5139203";"1257163";;"Boris Pokrovskiy";"0"
"1257286";"Q18084450";"nm5111520";"0";;"Дena Borshch";"0"
"1257416";"Q4698718";"nm1926617";"1257416";;"Airi Taira";"0"
"1258232";"Q5259842";"nm1569160";"1258232";;"Denys Blakeway";"0"
"1258957";"Q12471703";"nm6355882";"1258957";;"Alvaro Maldini Siregar";"0"
"1258964";"Q12497094";"nm2719972";"1258964";;"Marissa Jeffryna";"0"
"1258965";"Q12481310";"nm3986631";"1258965";;"Derry Drajat";"0"
"1258971";"Q12482839";"nm5777368";"1258971";;"Febby Rastanty";"0"
"1259121";"Q12472704";"nm3509519";"1259121";;"Asrul Dahlan";"0"
"1259123";"Q20278567";"nm3474017";"1259123";;"Baron Yusuf Siregar";"0"
"1259126";"Q12475530";"nm3151641";"1259126";;"Bedu";"0"
"1259202";"Q11119915";"nm4680185";"1259202";;"Christ Laurent";"0"
"1259240";"Q11103062";"nm4131382";"1259240";;"Christy Jusung";"0"
"1259249";"Q12514096";"nm3151102";"1259249";;"Sharon Jessica";"0"
"1259311";"Q12497383";"nm1100231";"1259311";;"Mat Solar";"0"
"1259312";"Q6154785";"nm2719202";"1259312";;"Uci Bing Slamet";"0"
"1259331";"Q12482301";"nm1234229";"1259331";;"Eeng Saptahadi";"0"
"1259363";"Q5657701";"nm1294902";"1259363";;"Adi Bing Slamet";"0"
"1260168";"Q135672174";"nm3793466";"1260168";;"Giyora Yahalom";"0"
"1260448";"Q12498613";"nm3018096";"1260448";;"Mischa Chandrawinata";"0"
"1260454";"Q16175861";"nm4456737";"1260454";;"Gege Elisa";"0"
"1260904";"Q5995976";"nm4591968";"1260904";;"Marcelo Valdivieso";"0"
"1261294";"Q2443844";"nm0667641";"1161012";;"Duplikat";"0"
"1261518";"Q5939411";"nm2194924";"1261518";;"Kamand Amirsoleimani";"0"
"1267432";"Q16214935";"nm1141830";"1267432";;"David Kreizman";"0"
"1269841";"Q124000111";"nm0901678";"1269841";;"Irina Volodko";"0"
"1270416";"Q988393";"nm2722184";"1241174";;"Suvanant Kongying";"0"
"1271047";"Q4680993";"nm0322284";"1271047";;"Adda Gleason";"0"
"1271300";"Q135668559";"nm3096859";"1271300";;"Noah Johnston";"0"
"1273046";"Q111912745";"nm0914247";"1273046";;"David Watkins";"0"
"1273139";"Q131358491";"nm0589428";"1273139";;"Thomas G. Miller";"0"
"1274335";"Q95275353";"nm3890840";"1274335";;"Asan Amanov";"0"
"1274547";"Q84953561";"nm0314676";"1274547";;"Giorgos Gerontidakis";"0"
"1276999";"Q2347007";"nm0894241";"1276999";;"Luís Fernando Veríssimo";"0"
"1277574";"Q16138546";"nm3802763";"1277574";;"Pudit Choksangeam";"0"
"1278933";"Q10294767";"nm3959654";"1278933";;"Henrique Lins de Barros";"0"
"1279229";"Q12701667";"nm0044473";"1279229";;"Raja Azura";"0"
"1279439";"Q20462425";"nm4856520";"0";;"Sharifah Sakinah";"0"
"1280896";"Q21005615";"nm3374047";"0";;"Ashok Dhanuka";"0"
"1281219";"Q134932526";"nm0328370";"1281219";;"Maximiliano González";"0"
"1281783";"Q124642537";"nm1798934";"1281783";;"Monika Alwasiak";"0"
"1283356";"Q61116877";"nm9101167";"0";;"Michael Ang";"0"
"1284797";"Q12709143";"nm3614246";"1284797";;"Elly Mazlein";"0"
"1285143";"Q20452067";"nm4204438";"0";;"Usop Wilcha";"0"
"1285243";"Q126717672";"nm0042009";"1285243";;"Daniel Aukin";"0"
"1285424";"Q18204975";"nm2713006";"1139345";;"Mark Albiston";"0"
"1285601";"Q136367193";"nm1849964";"1285601";;"Damien Dufresne";"0"
"1287073";"Q106458198";"nm1280232";"1287073";;"Christopher Luscombe";"0"
"1289296";"Q6273718";"nm0907897";"52702";;"Jonathan Walker";"0"
"1290991";"Q136307704";"nm0989762";"1290991";;"Joan Peart";"0"
"1291674";"Q1163404";"nm5658397";"1291674";;"Daniela Hammer-Tugendhat";"0"
"1292606";"Q131869888";"nm3424889";"1292606";;"Olivier Touche";"0"
