"ID_SERIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_SERIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT"
"98214";"Q30335961";"tt7049818";"0";;"Villainous";"0"
"99709";"Q6786214";"tt0055688";"0";;"The Match Game";"0"
"100548";"Q86669535";"tt10410442";"0";;"The Traveller";"0"
"100819";"Q10274699";"tt0315002";"0";;"Escolinha do Professor Raimundo";"0"
"102045";"Q77247178";"tt12222224";"0";;"The Choice";"0"
"102220";"Q103130261";"tt10964902";"0";;"Topo Gigio";"0"
"102933";"Q10636093";"tt0146388";"0";;"Polisen i Strömstad";"0"
"105177";"Q136497520";"tt9642938";"0";;"Unsolved Mysteries";"0"
"106014";"Q15995127";"tt2514438";"0";;"High Maintenance";"0"
"107043";"Q22695780";"tt7141872";"0";;"Contra El Tiempo";"0"
"107972";"Q10585534";"tt0135734";"0";;"Mimmi";"0"
"108540";"Q1976162";"tt1191078";"0";;"Vidas robadas";"0"
"110820";"Q327762";"tt0306299";"0";;"The Weakest Link (Israel)";"0"
"113846";"Q823843";"tt1254039";"0";;"Mensen zoals jij en ik";"0"
"114511";"Q97173229";"tt12404772";"0";;"The Promise";"0"
"115371";"Q20737315";"tt2464848";"0";;"Pufpaffs Happy Hour";"0"
"116146";"Q109341206";"tt0268087";"0";;"Λαβ σόρρυ";"0"
"116655";"Q1170120";"tt0317015";"0";;"Das Quiz mit Jörg Pilawa";"0"
"117230";"Q86661348";"tt11583580";"0";;"Los cuarteles de Hitler (2019)";"0"
"119623";"Q29584150";"tt8059904";"0";;"Project S: Skate Our Souls";"0"
"119716";"Q109002039";"tt22109948";"0";;"Chanteurs masqués";"0"
"120592";"Q111918089";"tt14161736";"0";;"5x Comédia";"0"
"122051";"Q17498897";"tt6420672";"0";;"Aim High";"0"
"124920";"Q97357676";"tt8741368";"0";;"Rugrats";"0"
"125208";"Q67514215";"tt9140858";"0";;"Dream";"0"
"128712";"Q109342667";"tt26495428";"0";;"A League of Nobleman";"0"
"129055";"Q22031677";"tt0207879";"0";;"The Cruise";"0"
"129495";"Q85752853";"tt10888878";"0";;"Clickbait";"0"
"135091";"Q108919894";"tt15368922";"0";;"Break Point";"0"
"135106";"Q116858781";"tt0075553";"0";;"The Other One";"0"
"135967";"Q1249228";"tt1709194";"0";;"Ojo por Ojo";"0"
"136137";"Q108899283";"tt13678304";"0";;"The Larkins";"0"
"138371";"Q109553489";"tt4534140";"0";;"Napamiehet";"0"
"139612";"Q24970452";"tt11130978";"0";;"Mickey Mouse Mixed-Up Adventures";"0"
"154702";"Q7752253";"tt0063930";"0";;"The Morecambe & Wise Show";"0"
"155508";"Q117886280";"tt15296862";"0";;"Black Ops";"0"
"157099";"Q10825882";"tt4052762";"0";;"钢铁是怎样炼成的";"0"
"157312";"Q111705433";"tt17220204";"0";;"Everything's Gonna Be All White";"0"
"157450";"Q110640246";"tt15452200";"0";;"Fosca Innocenti";"0"
"158050";"Q115656114";"tt14729094";"0";;"The Bad Guy";"0"
"194615";"Q122770332";"tt26257058";"0";;"Love Is for the Strong";"0"
"194735";"Q77679328";"tt11500782";"0";;"Zot Vezoti";"0"
"195920";"Q991688";"tt2876430";"0";;"Olli Dittrichs TV-Zyklus";"0"
"200862";"Q13402105";"tt4957334";"0";;"Fatal Wine";"0"
"201046";"Q2094986";"tt0362368";"0";;"La revancha";"0"
"201426";"Q123000439";"tt19732922";"0";;"Caught in the Act: Unfaithful";"0"
"202246";"Q113534106";"tt20252832";"0";;"How to Screw It All Up";"0"
"202298";"Q112580790";"tt21029836";"0";;"Los Borbones: Una familia real";"0"
"203835";"Q16998409";"tt0344422";"0";;"Tales of Mystery and Imagination";"0"
"207470";"Q113687648";"tt21448608";"0";;"Off the Hook";"0"
"207677";"Q136482053";"tt0224951";"0";;"Primer Amor";"0"
"208492";"Q107292067";"tt0319041";"0";;"Bel ami";"0"
"208606";"Q131316384";"tt16744224";"0";;"Operation Omerta";"0"
"209234";"Q4215316";"tt2311954";"0";;"Karlsson on the Roof";"0"
"210120";"Q2224075";"tt0385430";"0";;"Het Cabaret van Kopspijkers";"0"
"210699";"Q55072141";"tt8884110";"0";;"Zuzubalandia";"0"
"211116";"Q116691847";"tt22297684";"0";;"Class";"0"
"211562";"Q117706049";"tt21043326";"0";;"Ride";"0"
"212907";"Q116051911";"tt22325164";"0";;"La promesa";"0"
"219348";"Q86730095";"tt10969770";"0";;"Se Joga";"0"
"219546";"Q117318106";"tt26546001";"0";;"Paradise Lost";"0"
"219959";"Q1191955";"tt0493328";"0";;"Hanaukyou Maid Team";"0"
"224022";"Q117452729";"tt24017294";"0";;"PJ Masks: Power Heroes";"0"
"230511";"Q7362418";"tt4697808";"0";;"风尘三侠之红拂女";"0"
"230691";"Q122170438";"tt28690315";"0";;"Secret Campus";"0"
"239770";"Q126960117";"tt31433814";"0";;"Doctor Who";"0"
"240251";"Q136502940";"tt1459309";"0";;"From Jump Street: The Story of Black Music";"0"
"240868";"Q24958111";"tt1368433";"0";;"The Court";"0"
"241273";"Q16324259";"tt1839128";"0";;"Osman & Jeppe";"0"
"242682";"Q136465519";"tt34347006";"0";;"Caged Again";"0"
"242856";"Q10894634";"tt10409496";"0";;"养父";"0"
"242907";"Q136288519";"tt31522591";"0";;"Fate";"0"
"243126";"Q4895395";"tt7565504";"0";;"Bert and Ernie's Great Adventures";"0"
"243317";"Q17019915";"tt3695158";"0";;"Outnumbered";"0"
"244790";"Q118986019";"tt30972362";"0";;"Fox News Saturday Night with Jimmy Failla";"0"
"247483";"Q15839461";"tt2343014";"0";;"Panorama 3";"0"
"250135";"Q20165578";"tt15280672";"0";;"MasterChef Celebrity México";"0"
"256059";"Q543051";"tt0233098";"0";;"Ready Steady Cook";"0"
"257206";"Q130710038";"tt31691317";"0";;"Òlòtūré: The Journey";"0"
"257534";"Q136500407";"tt31314754";"0";;"Devil in Disguise: John Wayne Gacy";"0"
"258596";"Q46242067";"tt11416602";"0";;"Podium Witteman";"0"
"261902";"Q135225888";"tt38119083";"0";;"Last Summer";"0"
"262281";"Q136470254";"tt33241853";"0";;"Victoria Beckham";"0"
"275592";"Q136243480";"tt38570528";"0";;"The Dream Life of Mr. Kim";"0"
